"URL_suffix","n","Mean","Median","SD","SE","CI_lower","CI_upper","Min","Max","Total"
".com",410471,15121.48,13247.34,12889.95,20.12,15082.05,15160.91,31,144941.43,6206929123.93
".net",25275,11008.03,7678.12,11990.56,75.42,10860.21,11155.86,31,144694.09,278228033.99
".org",23039,11846.82,9032.58,12551.49,82.69,11684.74,12008.9,31,144259.27,272938898.07
".co.uk",14730,13396.5,11231.93,12315.72,101.47,13197.61,13595.4,31,140486.66,197330513.25
"Other_TLD",70771,2731.72,1571,3580.55,13.46,2705.34,2758.1,31,18000,193326870.6
".gov",3991,16071.71,13970.98,12833.94,203.15,15673.54,16469.89,31,140119.96,64142205.32
".com.br",9059,2779.66,1561,3674.85,38.61,2703.98,2855.33,31,17982,25180904.4
".de",5123,2788.87,1635,3610.9,50.45,2689.99,2887.75,31,17964,14287391.4
".it",3252,2740.27,1566,3537,62.02,2618.7,2861.83,31,17928,8911345
".cl",2970,2670.04,1574,3438.79,63.1,2546.37,2793.72,31,17742,7930031.9
".ch",2889,2716.6,1578,3530.68,65.69,2587.85,2845.34,31,17940,7848247.6
